,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
28,688136.SH,20210205,31.55,34.7,31.38,34.16,31.4,2.76,8.7898,36299.31,121489.027
29,688136.SH,20210204,32.46,32.48,31.0,31.4,32.4,-1.0,-3.0864,15307.97,48254.631
30,688136.SH,20210203,33.15,33.89,32.01,32.4,33.45,-1.05,-3.139,15802.23,51972.377
31,688136.SH,20210202,34.27,34.7,33.34,33.45,34.27,-0.82,-2.3928,18581.93,62850.247
32,688136.SH,20210201,33.01,34.94,33.01,34.27,33.25,1.02,3.0677,19095.08,65186.704
33,688136.SH,20210129,35.79,35.79,32.68,33.25,34.73,-1.48,-4.2614,20739.61,70049.466
34,688136.SH,20210128,35.43,35.93,34.7,34.73,35.9,-1.17,-3.2591,16140.06,56818.897
35,688136.SH,20210127,37.25,37.25,35.27,35.9,36.64,-0.74,-2.0197,23132.51,82816.255
36,688136.SH,20210126,38.12,38.15,36.3,36.64,38.12,-1.48,-3.8825,31707.1,117459.548
37,688136.SH,20210125,35.8,38.85,35.19,38.12,36.28,1.84,5.0717,68376.84,256753.643
38,688136.SH,20210122,34.2,36.47,33.1,36.28,34.15,2.13,6.2372,46425.49,161400.633
39,688136.SH,20210121,34.42,35.28,34.06,34.15,34.8,-0.65,-1.8678,24650.24,85055.99
40,688136.SH,20210120,35.3,35.45,34.3,34.8,35.17,-0.37,-1.052,18677.34,64840.33
41,688136.SH,20210119,35.49,35.63,34.5,35.17,35.1,0.07,0.1994,21885.6,77046.403
42,688136.SH,20210118,35.29,37.1,34.97,35.1,35.04,0.06,0.1712,49739.08,179078.319
43,688136.SH,20210115,32.32,35.88,32.3,35.04,32.32,2.72,8.4158,52250.75,177914.262
44,688136.SH,20210114,31.08,33.5,30.02,32.32,31.34,0.98,3.127,49929.52,159778.144
45,688136.SH,20210113,34.19,34.19,31.23,31.34,34.19,-2.85,-8.3358,49863.54,159418.419
46,688136.SH,20210112,34.9,35.48,34.0,34.19,34.9,-0.71,-2.0344,32183.18,111381.049
47,688136.SH,20210111,38.55,38.64,34.88,34.9,38.3,-3.4,-8.8773,56096.72,202498.682
48,688136.SH,20210108,38.24,39.39,38.14,38.3,38.85,-0.55,-1.4157,30267.62,116543.106
49,688136.SH,20210107,41.4,41.4,38.6,38.85,41.49,-2.64,-6.363,46853.13,186502.113
50,688136.SH,20210106,40.79,41.49,39.72,41.49,40.76,0.73,1.791,46831.89,190459.905
51,688136.SH,20210105,40.7,42.05,40.28,40.76,40.55,0.21,0.5179,41461.71,169972.02
52,688136.SH,20210104,41.08,41.53,39.6,40.55,40.84,-0.29,-0.7101,43164.44,174016.402
53,688136.SH,20201231,39.75,42.45,39.3,40.84,39.75,1.09,2.7421,46731.8,190767.664
54,688136.SH,20201230,39.5,40.38,39.12,39.75,40.09,-0.34,-0.8481,31166.51,123874.248
55,688136.SH,20201229,42.6,42.6,39.81,40.09,42.04,-1.95,-4.6384,41697.02,171252.516
56,688136.SH,20201228,40.79,43.68,38.78,42.04,40.35,1.69,4.1884,67357.95,279698.19
57,688136.SH,20201225,39.81,41.48,39.16,40.35,39.71,0.64,1.6117,45510.48,183479.852
58,688136.SH,20201224,41.5,41.95,39.39,39.71,41.53,-1.82,-4.3824,60503.4,242488.434
59,688136.SH,20201223,43.15,43.49,40.69,41.53,43.35,-1.82,-4.1984,71580.16,297708.334
60,688136.SH,20201222,41.7,45.44,41.7,43.35,42.67,0.68,1.5936,92977.98,409307.651
61,688136.SH,20201221,42.2,43.5,40.8,42.67,43.51,-0.84,-1.9306,85987.04,361891.917
62,688136.SH,20201218,46.8,46.9,43.1,43.51,48.1,-4.59,-9.5426,119827.44,535208.643
63,688136.SH,20201217,46.0,51.59,45.6,48.1,47.0,1.1,2.3404,125904.61,619605.37
64,688136.SH,20201216,48.52,52.39,46.6,47.0,52.61,-5.61,-10.6634,172194.96,844716.121
65,688136.SH,20201215,38.26,55.66,38.2,52.61,41.01,11.6,28.2858,252218.34,1153712.377
66,688136.SH,20201214,44.0,44.36,38.0,41.01,22.33,18.68,83.6543,273808.88,1122548.582
