,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
35,605199.SH,20210127,20.69,20.88,20.4,20.42,20.84,-0.42,-2.0154,11159.26,22876.065
36,605199.SH,20210126,20.91,21.25,20.68,20.84,21.01,-0.17,-0.8091,11095.56,23239.921
37,605199.SH,20210125,21.32,21.48,20.85,21.01,21.48,-0.47,-2.1881,14085.26,29651.316
38,605199.SH,20210122,21.89,22.0,21.22,21.48,21.81,-0.33,-1.5131,13407.52,28891.437
39,605199.SH,20210121,21.9,22.24,21.75,21.81,21.95,-0.14,-0.6378,11044.0,24255.619
40,605199.SH,20210120,22.0,22.56,21.74,21.95,22.22,-0.27,-1.2151,10941.42,24109.457
41,605199.SH,20210119,21.6,22.3,21.6,22.22,21.76,0.46,2.114,13738.87,30257.273
42,605199.SH,20210118,21.55,21.99,21.54,21.76,21.54,0.22,1.0214,9648.58,20977.781
43,605199.SH,20210115,21.0,21.8,20.93,21.54,21.13,0.41,1.9404,11357.5,24354.637
44,605199.SH,20210114,21.8,21.8,20.8,21.13,21.91,-0.78,-3.56,16538.52,34888.231
45,605199.SH,20210113,22.81,22.86,21.9,21.91,22.8,-0.89,-3.9035,16460.03,36430.599
46,605199.SH,20210112,22.52,22.9,22.3,22.8,22.55,0.25,1.1086,10124.26,22945.057
47,605199.SH,20210111,23.63,23.75,22.5,22.55,23.63,-1.08,-4.5705,20330.86,46697.612
48,605199.SH,20210108,24.16,24.16,23.41,23.63,24.15,-0.52,-2.1532,17924.72,42529.621
49,605199.SH,20210107,25.1,25.49,24.11,24.15,25.58,-1.43,-5.5903,28404.35,70126.294
50,605199.SH,20210106,25.31,26.38,24.49,25.58,25.33,0.25,0.987,37182.46,94404.311
51,605199.SH,20210105,24.41,25.51,24.23,25.33,24.45,0.88,3.5992,30886.42,77667.095
52,605199.SH,20210104,24.45,24.68,24.26,24.45,24.12,0.33,1.3682,17378.96,42489.246
53,605199.SH,20201231,23.9,24.22,23.89,24.12,23.88,0.24,1.005,12078.17,29028.177
54,605199.SH,20201230,23.82,24.08,23.82,23.88,24.02,-0.14,-0.5828,13200.3,31576.76
55,605199.SH,20201229,24.25,24.48,23.8,24.02,24.18,-0.16,-0.6617,12043.15,28998.229
56,605199.SH,20201228,24.0,24.88,23.9,24.18,24.17,0.01,0.0414,16417.15,40019.031
57,605199.SH,20201225,24.18,24.44,24.08,24.17,24.43,-0.26,-1.0643,10581.75,25636.031
58,605199.SH,20201224,24.25,24.71,24.04,24.43,24.53,-0.1,-0.4077,14675.29,35779.516
59,605199.SH,20201223,24.78,24.78,24.25,24.53,25.1,-0.57,-2.2709,22361.88,54650.908
60,605199.SH,20201222,25.02,25.8,24.85,25.1,24.96,0.14,0.5609,25007.44,63275.544
61,605199.SH,20201221,25.17,25.17,24.6,24.96,25.2,-0.24,-0.9524,16980.25,42286.433
62,605199.SH,20201218,25.6,25.82,25.0,25.2,25.82,-0.62,-2.4012,22814.4,57546.921
63,605199.SH,20201217,24.61,26.0,24.61,25.82,24.64,1.18,4.789,37532.96,95991.546
64,605199.SH,20201216,25.08,25.29,24.55,24.64,25.27,-0.63,-2.4931,19773.85,48983.406
65,605199.SH,20201215,25.48,25.86,25.16,25.27,25.8,-0.53,-2.0543,22687.23,57823.152
66,605199.SH,20201214,24.57,26.56,24.17,25.8,24.55,1.25,5.0916,36686.49,93134.547
67,605199.SH,20201211,25.21,25.25,24.1,24.55,25.2,-0.65,-2.5794,30125.69,73848.758
68,605199.SH,20201210,25.9,26.28,25.0,25.2,26.46,-1.26,-4.7619,39555.06,100406.891
69,605199.SH,20201209,26.28,27.17,25.8,26.46,26.26,0.2,0.7616,47112.73,125151.988
70,605199.SH,20201208,26.73,26.99,25.91,26.26,26.84,-0.58,-2.161,44463.36,116619.424
71,605199.SH,20201207,27.46,28.44,26.68,26.84,28.03,-1.19,-4.2455,62297.17,169387.417
72,605199.SH,20201204,29.69,30.7,27.98,28.03,27.95,0.08,0.2862,118424.81,348316.152
73,605199.SH,20201203,25.11,27.95,25.1,27.95,25.41,2.54,9.9961,45893.34,124802.982
74,605199.SH,20201202,24.6,25.5,24.25,25.41,24.3,1.11,4.5679,31383.34,78368.453
75,605199.SH,20201201,24.06,24.34,24.0,24.3,24.08,0.22,0.9136,10145.03,24605.18
76,605199.SH,20201130,24.01,24.18,23.79,24.08,24.09,-0.01,-0.0415,13351.82,32010.573
77,605199.SH,20201127,25.01,25.02,23.9,24.09,25.08,-0.99,-3.9474,24986.11,60398.59
78,605199.SH,20201126,25.19,25.32,25.03,25.08,25.12,-0.04,-0.1592,10088.35,25336.668
79,605199.SH,20201125,25.26,25.41,25.07,25.12,25.26,-0.14,-0.5542,11314.47,28431.235
80,605199.SH,20201124,25.36,25.49,25.11,25.26,25.5,-0.24,-0.9412,10687.9,26969.443
81,605199.SH,20201123,25.84,25.84,25.41,25.5,25.57,-0.07,-0.2738,12704.37,32506.691
82,605199.SH,20201120,25.28,25.86,25.16,25.57,25.15,0.42,1.67,16885.92,43179.518
83,605199.SH,20201119,25.19,25.2,25.01,25.15,25.19,-0.04,-0.1588,9167.06,23016.584
84,605199.SH,20201118,25.14,25.4,25.1,25.19,25.14,0.05,0.1989,8635.42,21806.616
85,605199.SH,20201117,25.47,25.47,25.06,25.14,25.46,-0.32,-1.2569,13523.0,34009.539
86,605199.SH,20201116,25.25,25.65,25.25,25.46,25.52,-0.06,-0.2351,10714.31,27209.325
87,605199.SH,20201113,26.0,26.0,25.15,25.52,25.93,-0.41,-1.5812,15460.61,39373.069
88,605199.SH,20201112,26.5,26.65,25.8,25.93,26.39,-0.46,-1.7431,15368.69,40150.315
89,605199.SH,20201111,25.96,26.65,25.71,26.39,26.29,0.1,0.3804,22716.37,59459.974
90,605199.SH,20201110,26.31,26.81,25.8,26.29,26.23,0.06,0.2287,24821.7,65365.323
91,605199.SH,20201109,25.65,26.35,25.64,26.23,25.65,0.58,2.2612,20026.87,52256.267
92,605199.SH,20201106,26.2,26.32,25.52,25.65,26.15,-0.5,-1.912,16889.39,43352.963
93,605199.SH,20201105,26.35,26.5,26.0,26.15,26.17,-0.02,-0.0764,15818.23,41355.067
94,605199.SH,20201104,25.86,26.4,25.86,26.17,25.86,0.31,1.1988,15328.36,40061.462
95,605199.SH,20201103,25.05,25.98,25.05,25.86,25.27,0.59,2.3348,12110.06,31067.588
96,605199.SH,20201102,25.81,26.0,25.2,25.27,25.81,-0.54,-2.0922,13884.03,35330.407
97,605199.SH,20201030,26.8,27.01,25.81,25.81,26.8,-0.99,-3.694,22784.15,59810.969
98,605199.SH,20201029,26.63,27.5,26.55,26.8,27.05,-0.25,-0.9242,17626.16,47520.184
99,605199.SH,20201028,27.43,27.6,27.01,27.05,27.23,-0.18,-0.661,16846.29,45904.432
100,605199.SH,20201027,27.07,27.46,26.9,27.23,27.37,-0.14,-0.5115,11514.39,31328.339
101,605199.SH,20201026,26.77,27.46,25.88,27.37,26.81,0.56,2.0888,22881.83,61387.546
102,605199.SH,20201023,27.21,27.64,26.58,26.81,27.21,-0.4,-1.47,26737.96,72290.021
103,605199.SH,20201022,28.7,28.7,27.14,27.21,28.7,-1.49,-5.1916,35800.63,98406.883
104,605199.SH,20201021,28.78,29.45,28.66,28.7,28.84,-0.14,-0.4854,25271.95,73300.599
105,605199.SH,20201020,29.01,29.01,28.24,28.84,28.99,-0.15,-0.5174,27958.65,79841.18
106,605199.SH,20201019,30.28,30.28,28.65,28.99,30.3,-1.31,-4.3234,56391.72,165232.758
107,605199.SH,20201016,28.01,31.0,27.82,30.3,28.27,2.03,7.1808,68467.63,202481.792
108,605199.SH,20201015,30.17,30.17,28.15,28.27,28.86,-0.59,-2.0444,35590.98,102588.108
109,605199.SH,20201014,29.35,30.18,28.7,28.86,29.25,-0.39,-1.3333,41839.57,123209.71
110,605199.SH,20201013,28.75,29.5,28.44,29.25,28.68,0.57,1.9874,34757.12,101088.324
111,605199.SH,20201012,28.31,28.77,27.93,28.68,27.91,0.77,2.7589,27334.92,77773.278
112,605199.SH,20201009,27.0,28.16,27.0,27.91,26.95,0.96,3.5622,24617.38,68005.614
113,605199.SH,20200930,26.83,27.19,26.35,26.95,26.42,0.53,2.0061,19698.0,52598.197
114,605199.SH,20200929,26.5,27.37,26.04,26.42,26.95,-0.53,-1.9666,29482.3,78647.902
115,605199.SH,20200928,27.58,27.9,25.0,26.95,27.59,-0.64,-2.3197,36862.55,99089.523
116,605199.SH,20200925,29.5,29.69,27.0,27.59,29.37,-1.78,-6.0606,50117.58,140741.252
117,605199.SH,20200924,30.2,30.61,29.36,29.37,30.54,-1.17,-3.831,43270.76,129181.098
118,605199.SH,20200923,29.65,30.68,28.7,30.54,28.7,1.84,6.4111,72209.06,217713.654
119,605199.SH,20200922,29.03,29.8,26.6,28.7,29.5,-0.8,-2.7119,36375.11,105829.473
120,605199.SH,20200921,28.9,30.2,28.3,29.5,28.86,0.64,2.2176,45050.07,132232.096
121,605199.SH,20200918,28.99,29.45,28.58,28.86,28.88,-0.02,-0.0693,28928.92,83618.213
122,605199.SH,20200917,29.78,29.78,28.5,28.88,29.58,-0.7,-2.3665,31827.61,92131.784
123,605199.SH,20200916,29.0,29.99,28.52,29.58,29.35,0.23,0.7836,53200.29,156283.262
124,605199.SH,20200915,28.35,30.0,27.88,29.35,28.09,1.26,4.4856,54850.78,159142.184
125,605199.SH,20200914,27.17,28.25,27.17,28.09,27.6,0.49,1.7754,29305.42,81686.596
126,605199.SH,20200911,26.99,27.6,26.3,27.6,27.26,0.34,1.2472,29580.34,80216.205
127,605199.SH,20200910,27.37,28.2,26.64,27.26,27.02,0.24,0.8882,37772.35,103029.884
128,605199.SH,20200909,28.5,28.7,26.92,27.02,29.13,-2.11,-7.2434,52321.35,144866.159
129,605199.SH,20200908,30.06,30.36,28.9,29.13,30.06,-0.93,-3.0938,38911.83,114250.424
130,605199.SH,20200907,30.3,31.2,29.94,30.06,30.51,-0.45,-1.4749,29447.58,89373.788
131,605199.SH,20200904,30.83,31.0,30.13,30.51,31.48,-0.97,-3.0813,39917.17,121930.743
132,605199.SH,20200903,31.37,32.28,30.46,31.48,31.44,0.04,0.1272,43039.84,135653.852
133,605199.SH,20200902,32.04,32.33,31.34,31.44,31.94,-0.5,-1.5654,37320.52,118241.12
134,605199.SH,20200901,32.6,32.6,31.61,31.94,32.73,-0.79,-2.4137,38883.34,124099.105
135,605199.SH,20200831,32.04,33.05,31.78,32.73,31.94,0.79,2.4734,55337.28,180045.412
136,605199.SH,20200828,32.22,32.58,31.2,31.94,32.3,-0.36,-1.1146,51267.38,162907.308
137,605199.SH,20200827,31.6,32.8,31.6,32.3,32.11,0.19,0.5917,42642.84,137531.388
138,605199.SH,20200826,33.69,33.69,32.1,32.11,33.87,-1.76,-5.1963,71120.92,232436.347
139,605199.SH,20200825,34.44,35.35,33.8,33.87,34.44,-0.57,-1.6551,60624.55,207660.202
140,605199.SH,20200824,35.51,35.56,33.9,34.44,36.32,-1.88,-5.1762,72440.54,250533.867
141,605199.SH,20200821,36.61,37.86,35.88,36.32,37.05,-0.73,-1.9703,85584.03,314577.887
142,605199.SH,20200820,34.66,38.0,33.6,37.05,35.36,1.69,4.7794,115107.13,410816.823
143,605199.SH,20200819,37.21,37.38,35.08,35.36,38.32,-2.96,-7.7244,98591.65,355276.912
144,605199.SH,20200818,35.61,38.85,35.6,38.32,35.71,2.61,7.3089,129917.56,488299.139
145,605199.SH,20200817,34.76,36.57,34.32,35.71,35.02,0.69,1.9703,91056.86,322858.085
146,605199.SH,20200814,36.11,36.5,34.3,35.02,37.37,-2.35,-6.2885,112318.61,395629.533
147,605199.SH,20200813,39.85,40.09,37.3,37.37,41.38,-4.01,-9.6907,126737.83,490950.119
148,605199.SH,20200812,38.36,41.49,36.28,41.38,39.27,2.11,5.3731,168534.36,660914.957
149,605199.SH,20200811,42.51,42.75,39.27,39.27,43.63,-4.36,-9.9931,164561.76,667261.621
150,605199.SH,20200810,44.27,46.64,43.62,43.63,48.47,-4.84,-9.9856,189824.6,847406.054
151,605199.SH,20200807,47.38,49.88,43.73,48.47,45.64,2.83,6.2007,304811.23,1432822.692
152,605199.SH,20200806,44.99,45.64,42.88,45.64,41.49,4.15,10.0024,187540.01,840855.335
153,605199.SH,20200805,41.49,41.49,41.49,41.49,37.72,3.77,9.9947,102111.99,423662.647
154,605199.SH,20200804,37.72,37.72,37.72,37.72,34.29,3.43,10.0029,2727.55,10288.319
155,605199.SH,20200803,34.29,34.29,34.29,34.29,31.17,3.12,10.0096,8659.32,29692.808
156,605199.SH,20200731,31.17,31.17,31.17,31.17,28.34,2.83,9.9859,11016.02,34336.934
157,605199.SH,20200730,28.34,28.34,28.34,28.34,25.76,2.58,10.0155,20889.61,59201.155
158,605199.SH,20200729,25.76,25.76,25.76,25.76,23.42,2.34,9.9915,4279.72,11024.559
159,605199.SH,20200728,23.42,23.42,23.42,23.42,21.29,2.13,10.0047,1531.76,3587.382
160,605199.SH,20200727,21.29,21.29,21.29,21.29,19.35,1.94,10.0258,2638.6,5617.579
161,605199.SH,20200724,19.35,19.35,19.35,19.35,17.59,1.76,10.0057,2892.55,5597.084
162,605199.SH,20200723,17.59,17.59,17.59,17.59,15.99,1.6,10.0063,1823.53,3207.589
163,605199.SH,20200722,15.99,15.99,15.99,15.99,14.54,1.45,9.9725,1858.11,2971.118
164,605199.SH,20200721,14.54,14.54,14.54,14.54,13.22,1.32,9.9849,1402.68,2039.497
165,605199.SH,20200720,13.22,13.22,13.22,13.22,12.02,1.2,9.9834,932.62,1232.924
166,605199.SH,20200717,12.02,12.02,12.02,12.02,10.93,1.09,9.9726,797.64,958.763
167,605199.SH,20200716,10.93,10.93,10.93,10.93,9.94,0.99,9.9598,766.06,837.304
168,605199.SH,20200715,9.94,9.94,9.94,9.94,9.04,0.9,9.9558,216.11,214.813
169,605199.SH,20200714,9.04,9.04,9.04,9.04,8.22,0.82,9.9757,250.58,226.524
170,605199.SH,20200713,8.22,8.22,8.22,8.22,7.47,0.75,10.0402,232.1,190.786
171,605199.SH,20200710,6.23,7.47,6.23,7.47,5.19,2.28,43.9306,543.01,405.504
