,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
19,688308.SH,20210225,31.51,34.78,30.8,33.37,30.71,2.66,8.6617,62316.82,205065.325
20,688308.SH,20210224,27.1,31.09,27.1,30.71,27.3,3.41,12.4908,58381.74,171710.894
21,688308.SH,20210223,27.84,28.6,26.18,27.3,27.64,-0.34,-1.2301,24753.17,67936.187
22,688308.SH,20210222,25.8,28.68,25.8,27.64,25.39,2.25,8.8618,45997.17,126411.55
23,688308.SH,20210219,24.09,25.5,24.09,25.39,24.21,1.18,4.874,16360.96,40730.967
24,688308.SH,20210218,23.99,24.32,23.54,24.21,23.5,0.71,3.0213,9599.23,23086.781
25,688308.SH,20210210,23.9,23.9,23.49,23.5,23.72,-0.22,-0.9275,7181.94,16944.498
26,688308.SH,20210209,23.62,23.93,23.18,23.72,23.95,-0.23,-0.9603,12945.61,30493.757
27,688308.SH,20210208,24.41,25.15,23.85,23.95,24.1,-0.15,-0.6224,15474.12,37947.698
28,688308.SH,20210205,23.43,24.8,23.35,24.1,23.25,0.85,3.6559,15315.34,36866.209
29,688308.SH,20210204,23.9,23.9,23.13,23.25,23.89,-0.64,-2.6789,8520.01,19967.397
30,688308.SH,20210203,24.05,24.42,23.86,23.89,24.48,-0.59,-2.4101,8454.15,20337.465
31,688308.SH,20210202,24.65,25.37,24.38,24.48,24.81,-0.33,-1.3301,13109.38,32649.649
32,688308.SH,20210201,23.71,24.87,23.61,24.81,23.71,1.1,4.6394,14010.86,34250.107
33,688308.SH,20210129,24.38,24.44,23.41,23.71,24.08,-0.37,-1.5365,10490.33,25020.503
34,688308.SH,20210128,24.58,25.08,24.08,24.08,24.64,-0.56,-2.2727,8248.06,20210.736
35,688308.SH,20210127,25.0,25.16,24.51,24.64,25.21,-0.57,-2.261,10239.52,25317.771
36,688308.SH,20210126,24.59,25.49,24.59,25.21,24.57,0.64,2.6048,14727.71,37065.189
37,688308.SH,20210125,24.39,24.79,23.96,24.57,24.26,0.31,1.2778,8919.62,21733.858
38,688308.SH,20210122,24.87,24.87,23.99,24.26,24.94,-0.68,-2.7265,13134.22,31954.47
39,688308.SH,20210121,24.9,25.18,24.73,24.94,24.89,0.05,0.2009,8047.87,20078.515
40,688308.SH,20210120,25.4,25.5,24.79,24.89,25.39,-0.5,-1.9693,11013.39,27551.352
41,688308.SH,20210119,25.45,25.96,25.36,25.39,25.45,-0.06,-0.2358,11998.35,30773.46
42,688308.SH,20210118,25.78,25.96,25.3,25.45,25.86,-0.41,-1.5855,12559.42,32116.982
43,688308.SH,20210115,24.85,26.2,24.52,25.86,25.04,0.82,3.2748,19294.83,49493.933
44,688308.SH,20210114,24.18,25.59,23.92,25.04,24.18,0.86,3.5567,16041.71,39923.55
45,688308.SH,20210113,24.75,24.75,23.8,24.18,24.6,-0.42,-1.7073,11926.09,28702.687
46,688308.SH,20210112,24.79,25.1,24.43,24.6,24.79,-0.19,-0.7664,7987.77,19740.843
47,688308.SH,20210111,25.0,25.32,24.22,24.79,25.28,-0.49,-1.9383,13737.81,33924.12
48,688308.SH,20210108,25.3,25.63,24.55,25.28,25.18,0.1,0.3971,9430.07,23779.037
49,688308.SH,20210107,26.83,26.85,25.0,25.18,26.79,-1.61,-6.0097,23874.82,61358.413
50,688308.SH,20210106,28.0,28.17,26.61,26.79,27.9,-1.11,-3.9785,16787.38,45629.606
51,688308.SH,20210105,27.66,28.65,27.52,27.9,27.72,0.18,0.6494,17637.37,49729.639
52,688308.SH,20210104,27.02,27.9,26.85,27.72,27.24,0.48,1.7621,16547.07,45312.987
53,688308.SH,20201231,26.9,27.59,26.9,27.24,27.06,0.18,0.6652,15027.03,40951.713
54,688308.SH,20201230,26.45,27.3,26.1,27.06,26.45,0.61,2.3062,14608.3,39071.883
55,688308.SH,20201229,26.14,27.38,25.81,26.45,26.08,0.37,1.4187,17522.56,46625.675
56,688308.SH,20201228,27.77,27.77,26.0,26.08,27.77,-1.69,-6.0857,25626.03,68403.192
57,688308.SH,20201225,27.7,28.13,27.3,27.77,27.7,0.07,0.2527,15550.13,43246.031
58,688308.SH,20201224,29.2,29.26,27.6,27.7,29.07,-1.37,-4.7128,27692.24,77782.255
59,688308.SH,20201223,29.11,29.38,28.48,29.07,28.73,0.34,1.1834,20564.75,59334.037
60,688308.SH,20201222,29.36,30.11,28.6,28.73,29.77,-1.04,-3.4934,25851.74,76247.255
61,688308.SH,20201221,30.1,30.51,29.29,29.77,30.51,-0.74,-2.4254,30810.25,91406.817
62,688308.SH,20201218,31.13,31.78,30.4,30.51,31.0,-0.49,-1.5806,26321.12,81409.953
63,688308.SH,20201217,31.0,31.6,30.03,31.0,31.55,-0.55,-1.7433,33770.17,103846.125
64,688308.SH,20201216,33.04,33.49,31.2,31.55,33.85,-2.3,-6.7947,47643.27,152440.363
65,688308.SH,20201215,32.12,34.23,31.88,33.85,32.12,1.73,5.3861,55877.17,185552.351
66,688308.SH,20201214,33.61,34.34,31.8,32.12,35.19,-3.07,-8.7241,65509.13,213009.235
67,688308.SH,20201211,42.0,42.0,34.81,35.19,42.39,-7.2,-16.9851,104508.83,385968.719
68,688308.SH,20201210,40.18,47.0,40.0,42.39,23.99,18.4,76.6986,157681.04,678703.424
